"identifier","voertuigen","jaar","maand","wegcategorie","naam","stad"
"2426000894","64830.0","2013","8","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","63042.0","2013","9","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","62885.0","2013","10","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","59348.0","2013","11","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","56725.0","2014","1","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","60425.0","2014","2","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","61489.0","2014","3","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","64589.0","2014","4","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","59151.0","2014","5","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","63567.0","2014","6","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","62512.0","2014","7","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","64534.0","2014","8","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","65225.0","2014","9","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","64383.0","2014","10","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","59961.0","2014","11","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","55290.0","2015","1","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","59568.0","2015","2","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","61788.0","2015","3","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","65000.0","2015","4","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","62482.0","2015","5","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","62146.0","2015","6","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","59763.0","2015","7","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","65739.0","2015","8","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","63839.0","2015","9","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","64013.0","2015","10","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","60526.0","2015","11","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","56732.0","2016","1","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","60778.0","2016","2","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","60658.0","2016","3","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","64464.0","2016","4","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","63387.0","2016","5","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
"2426000894","63005.0","2016","6","10","van Ternat tot Parking Groot-Bijgaarden richting Brussel","Gent"
